artifact,status,coverage,sha256,allowed_use,reason
unified_benign_calibrated_multiview_gate_20260910/private/ATTACK_PER_QUERY.csv.gz,FOUND,2000 attack queries,55848a7fe7b8f48c92c468f50b3dba2937a02023bcfced7d35fce0ac29551218,HISTORICAL_DIAGNOSTIC_ONLY,"LOO scalars and locator summary present; complete Top-4 and QLL source absent"
unified_benign_calibrated_multiview_gate_20260910/private/BENIGN_PER_QUERY.csv.gz,FOUND,1000 benign queries,c8d6c6816f8233833508e34124f08aadcd5bdcfc863ba43be72bbe390a3f4a5f,HISTORICAL_DIAGNOSTIC_ONLY,"query hash present; query text and exact Top-4 absent"
b2_counterfactual_min_20260910/phase_02_core6/QUERY_RESPONSE_REVIEW.csv.gz,FOUND,2000 attack query texts,3c39ad2e498aff21e5631957dfb9e6ea7375defe756d08b0c872ec8c57eea780,ATTACK_QUERY_PROVENANCE,"does not contain complete Top-4 or QLL source"
all_source_exposure_budget_decoding_20260910/private/AEBD_GENERATIONS.sqlite3,PARTIAL,200 MEntA queries / 40 sessions,6cc96500c25d60ca51fe8f1af47448004b356c945dee2596a8e54fedb8eb4554,PARTIAL_LINEAGE_EVIDENCE,"exact ordered source_ids present for MEntA subset only"
all_source_exposure_budget_decoding_20260910/private/TEACHER_EXPOSURES.sqlite3,FOUND,1000 score rows,4eb0d047f2c8d2835394d05a63333660b1cad36c3e66d2b12cdfc46985ddf302,HISTORICAL_DIAGNOSTIC_ONLY,"no query or source IDs"
stateless_exclusive_triple_view_20260910/audits/ATTACK_INPUT_ALIGNMENT.csv,FOUND,2000 boolean audit rows,7a3aebde0accfa6388760d7f815d0939235058f6eb022f74ad77085017bcd617,AUDIT_EVIDENCE,"source_ids/source_blocks columns are booleans rather than actual IDs/text"
all_source_exposure_budget_decoding_20260910/audits/SOURCE_GROUPING_AUDIT.csv.gz,FOUND,10680 audit rows,6ac08eba7f3e4d90d8304612b450001243c47fafbaa5c4eccf695cd50b85f9af,AUDIT_EVIDENCE,"contains source_ids_hash only"
LoRA-mirabel-Decter/dual_specialist_cascade_20260910/private/GPU_INPUTS.jsonl.gz,MISSING,0,1b63d166c2b091893d59649d65ea175227c2df4e9b8896f2eeb9c0a8092cde24,NONE,"hash reference survives but file does not"
AD-test-LLM3 exact frozen corpus,MISSING,0,,NONE,"ordered 1000-doc corpus and hash manifest unavailable"
AD-test-LLM3 BGE canonical retrieval cache,MISSING,0,,NONE,"canonical_v2 cache unavailable"
exact QLL selected source ID artifact,MISSING,0,,NONE,"dominance scalar alone cannot identify selected document"
AD-test-LLM NFCorpus member corpus,DIFFERENT_LINEAGE,1816 documents,,DO_NOT_SUBSTITUTE,"not the deleted AD-test-LLM3 frozen 1000-doc corpus"
RAG_MIA_DEFENSE_CLEAN_20260911/code/menta_official/utils/process_dataset.py,FOUND,construction procedure,3af026df344685f036dfc12c9c3d0beb33e702408622c4f4129568e278ed2316,PROCEDURE_REFERENCE,"dataset revision/input hash and exact old output are not pinned"
RAG_MIA_DEFENSE_CLEAN_20260911/code/paper_evaluation/mirabel_benchmark/run_benchmark_comparison.py,FOUND,benchmark procedure,b4332f9887bdcf5dde910840afbb2c9d2b764de7279247d592f4b157d31596f7,PROCEDURE_REFERENCE,"requires deleted corpus/cache/manifest inputs"
